username,status,followers,post_count,is_verified,post_1_likes,post_1_comments,post_2_likes,post_2_comments,post_3_likes,post_3_comments,post_4_likes,post_4_comments,post_5_likes,post_5_comments,post_6_likes,post_6_comments,post_7_likes,post_7_comments,post_8_likes,post_8_comments,post_9_likes,post_9_comments,post_10_likes,post_10_comments
janja_garnbret,success,955693.0,641.0,True,142027.0,735.0,75132.0,442.0,80817.0,405.0,29815.0,112.0,24823.0,110.0,27981.0,88.0,8195.0,22.0,11672.0,43.0,45163.0,119.0,24791.0,49.0
jakob.schubert,success,260677.0,994.0,True,35480.0,387.0,17321.0,122.0,28226.0,307.0,6651.0,14.0,2281.0,4.0,7022.0,13.0,3755.0,15.0,938.0,71.0,4528.0,16.0,8403.0,40.0
adam.ondra,success,1126021.0,1665.0,True,68685.0,930.0,28094.0,99.0,30327.0,254.0,4339.0,18.0,1983.0,5.0,7386.0,77.0,15524.0,42.0,19164.0,117.0,3869.0,7.0,2754.0,12.0
tomoa_narasaki,success,290768.0,581.0,True,7451.0,24.0,17655.0,49.0,7286.0,21.0,21479.0,27.0,10243.0,23.0,16009.0,44.0,1442.0,3.0,672.0,3.0,11276.0,18.0,18245.0,41.0
mihononaka,success,34.0,0.0,False,,,,,,,,,,,,,,,,,,,,
akiyo_noguchi,success,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,
jessy_pilz,success,119986.0,582.0,True,33703.0,121.0,12610.0,84.0,1947.0,7.0,2575.0,12.0,2268.0,7.0,1989.0,7.0,4279.0,18.0,1844.0,3.0,4285.0,11.0,2528.0,7.0
alberto_gines_,failed,,,,,,,,,,,,,,,,,,,,,,,
ai_mori___,success,336.0,216.0,False,11.0,0.0,12.0,0.0,12.0,0.0,19.0,0.0,46.0,0.0,38.0,2.0,30.0,0.0,16.0,0.0,11.0,0.0,33.0,2.0
seanmccoll,success,108.0,29.0,False,,,,,,,,,,,,,,,,,,,,
brookeraboutou,success,466675.0,468.0,True,130565.0,1832.0,34187.0,119.0,11469.0,32.0,11374.0,45.0,28769.0,77.0,36806.0,195.0,6948.0,97.0,15728.0,57.0,26080.0,42.0,25754.0,102.0
shaunacoxsey,success,449113.0,2979.0,True,3056.0,17.0,5852.0,84.0,2702.0,10.0,3146.0,26.0,3157.0,20.0,1439.0,12.0,10274.0,50.0,2730.0,885.0,22347.0,99.0,3948.0,21.0
chonjongwon96,success,110612.0,492.0,True,7320.0,54.0,7064.0,55.0,2978.0,7.0,3117.0,20.0,6529.0,44.0,5818.0,18.0,4626.0,34.0,2684.0,4.0,2681.0,14.0,3765.0,12.0
petraklingler,success,73.0,3.0,False,22.0,0.0,25.0,3.0,12.0,3.0,,,,,,,,,,,,,,
mihononaka,success,34.0,0.0,False,,,,,,,,,,,,,,,,,,,,
anakverhoeven,failed,,,,,,,,,,,,,,,,,,,,,,,
steghiso,success,284164.0,3735.0,True,8149.0,80.0,32704.0,543.0,13777.0,95.0,5909.0,39.0,1302.0,7.0,5364.0,17.0,3751.0,16.0,1923.0,12.0,2306.0,16.0,4996.0,29.0
alexander.megos,failed,,,,,,,,,,,,,,,,,,,,,,,
laura.rogora,success,108224.0,666.0,True,11082.0,317.0,22852.0,291.0,6144.0,35.0,861.0,6.0,360.0,2.0,3767.0,35.0,439.0,4.0,358.0,5.0,2060.0,22.0,1388.0,3.0
fanny_gibert,failed,,,,,,,,,,,,,,,,,,,,,,,
kokoro_fujii,success,318.0,163.0,False,,,,,,,,,,,,,,,,,,,,
kai_harada,success,3.0,0.0,False,,,,,,,,,,,,,,,,,,,,
meichi_narasaki,success,46032.0,109.0,True,1932.0,10.0,1927.0,3.0,5228.0,26.0,5550.0,8.0,3138.0,13.0,5696.0,39.0,3060.0,8.0,3342.0,19.0,948.0,0.0,4146.0,2.0
janhojer,success,90986.0,391.0,True,960.0,2.0,701.0,3.0,1030.0,11.0,756.0,10.0,535.0,4.0,464.0,2.0,722.0,5.0,3419.0,16.0,776.0,6.0,3187.0,7.0
domen_skofic,success,44450.0,660.0,True,1191764.0,6196.0,18498.0,215.0,3596.0,76.0,458.0,0.0,811.0,3.0,1096.0,3.0,1414.0,17.0,1894.0,7.0,1088.0,2.0,622.0,8.0
ja_in_kim,failed,,,,,,,,,,,,,,,,,,,,,,,
anakverhoeven,failed,,,,,,,,,,,,,,,,,,,,,,,
mollyts,success,9.0,0.0,False,,,,,,,,,,,,,,,,,,,,
julia.chanourdie,failed,,,,,,,,,,,,,,,,,,,,,,,
saschalehmann_climbing,failed,,,,,,,,,,,,,,,,,,,,,,,
seobaechoon,failed,,,,,,,,,,,,,,,,,,,,,,,
natalia_grossman,success,181687.0,217.0,True,16560.0,258.0,17761.0,243.0,5375.0,22.0,6082.0,69.0,22799.0,243.0,13520.0,124.0,3649.0,671.0,3819.0,45.0,7500.0,43.0,7018.0,87.0
oriane_bertone,success,395707.0,146.0,True,51684.0,433.0,52720.0,558.0,31866.0,172.0,25058.0,93.0,55940.0,202.0,25274.0,118.0,28156.0,70.0,21064.0,65.0,31704.0,232.0,25929.0,120.0
jessy_pilz,success,119986.0,582.0,True,33703.0,121.0,12610.0,84.0,1950.0,7.0,2575.0,12.0,2268.0,7.0,1989.0,7.0,4279.0,18.0,1844.0,3.0,4285.0,11.0,2528.0,7.0
ch_aehyun,success,2.0,0.0,False,,,,,,,,,,,,,,,,,,,,
yannick_flohe,success,101602.0,408.0,True,13884.0,105.0,18097.0,252.0,14727.0,74.0,2786.0,5.0,11730.0,34.0,20441.0,203.0,7988.0,46.0,691.0,4.0,3142.0,17.0,3992.0,11.0
sam_avezou,success,32534.0,76.0,True,3424.0,13.0,11939.0,145.0,3358.0,12.0,933.0,9.0,2231.0,25.0,1107.0,13.0,3233.0,18.0,499.0,2.0,1015.0,4.0,2144.0,5.0
toby_roberts_climbing,failed,,,,,,,,,,,,,,,,,,,,,,,
erinmcniece,failed,,,,,,,,,,,,,,,,,,,,,,,
anraku_sorato,success,136484.0,200.0,True,58516.0,701.0,16927.0,146.0,7843.0,14.0,3195.0,4.0,6851.0,56.0,12862.0,44.0,2204.0,2.0,10277.0,70.0,6966.0,55.0,3644.0,6.0
anoah_ts,failed,,,,,,,,,,,,,,,,,,,,,,,
hamish_mcarthur,success,53534.0,465.0,False,23477.0,308.0,2398.0,34.0,1405.0,6.0,7719.0,78.0,5604.0,42.0,8773.0,61.0,6506.0,50.0,6712.0,39.0,2553.0,26.0,11309.0,114.0
jesse_grupper,success,17.0,1.0,False,22.0,3.0,,,,,,,,,,,,,,,,,,
colinclimbs,success,170809.0,314.0,True,10662.0,35.0,5257.0,17.0,6983.0,57.0,3726.0,10.0,7709.0,31.0,6305.0,30.0,13620.0,113.0,5195.0,9.0,4359.0,9.0,8324.0,38.0
emma.hunt_,success,748.0,68.0,False,,,,,,,,,,,,,,,,,,,,
alexey_rubtsov,success,17577.0,265.0,True,883.0,8.0,893.0,11.0,893.0,1.0,1139.0,0.0,918.0,0.0,914.0,0.0,1918.0,2.0,1310.0,12.0,2923.0,11.0,1547.0,9.0
rezaalipour_official,success,5256.0,1.0,False,,,,,,,,,,,,,,,,,,,,
veddriq,success,153957.0,42.0,True,96060.0,1386.0,7736.0,84.0,10774.0,132.0,5071.0,39.0,3354.0,35.0,317276.0,1552.0,5528.0,27.0,682956.0,1273.0,2682.0,12.0,2832.0,12.0
kiromalmgren,failed,,,,,,,,,,,,,,,,,,,,,,,
ludovicofossali,success,16760.0,943.0,False,675.0,18.0,1094.0,18.0,513.0,3.0,650.0,1.0,767.0,12.0,493.0,4.0,523.0,13.0,301.0,5.0,655.0,8.0,727.0,19.0
bassa_mawem,success,511.0,19.0,False,64.0,0.0,243.0,2.0,82.0,0.0,143.0,4.0,100.0,5.0,102.0,2.0,60.0,2.0,87.0,10.0,71.0,1.0,56.0,1.0
mickael_mawem,failed,,,,,,,,,,,,,,,,,,,,,,,
alexander.megos,failed,,,,,,,,,,,,,,,,,,,,,,,
jan_lukas_becker,failed,,,,,,,,,,,,,,,,,,,,,,,
will_bosi,success,162973.0,621.0,True,32544.0,372.0,42790.0,635.0,63430.0,2484.0,5379.0,29.0,25868.0,159.0,21334.0,161.0,18559.0,102.0,7633.0,13.0,12173.0,67.0,9923.0,67.0
filipschenk,success,62.0,2.0,False,,,,,,,,,,,,,,,,,,,,
lucaberger,success,10.0,0.0,False,,,,,,,,,,,,,,,,,,,,
victor_baudrand,success,564.0,423.0,False,170.0,64.0,90.0,16.0,212.0,14.0,132.0,22.0,39.0,5.0,51.0,13.0,236.0,41.0,76.0,8.0,157.0,52.0,104.0,24.0
kruderjernej,success,52169.0,655.0,False,1836.0,43.0,2962.0,45.0,2117.0,57.0,1099.0,13.0,695.0,9.0,1243.0,12.0,1814.0,11.0,1601.0,49.0,395.0,8.0,845.0,18.0
janja_fans,success,535.0,53.0,False,36.0,7.0,32.0,1.0,33.0,9.0,51.0,9.0,26.0,1.0,35.0,1.0,40.0,3.0,46.0,2.0,3813.0,255.0,34.0,2.0
nina_caprez,failed,,,,,,,,,,,,,,,,,,,,,,,
tomoaki_takata,success,2.0,0.0,False,,,,,,,,,,,,,,,,,,,,
konecny_jakub,success,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,
ramonet_climbing,failed,,,,,,,,,,,,,,,,,,,,,,,
ja_in_kim,failed,,,,,,,,,,,,,,,,,,,,,,,
magdalenaroeck,success,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,
miya_koboulder,failed,,,,,,,,,,,,,,,,,,,,,,,
mia_krampl,failed,,,,,,,,,,,,,,,,,,,,,,,
luckyrandall,failed,,,,,,,,,,,,,,,,,,,,,,,
amity_warme,failed,,,,,,,,,,,,,,,,,,,,,,,
eliska_adamovska,failed,,,,,,,,,,,,,,,,,,,,,,,
zelia_avezou,success,34613.0,42.0,True,12383.0,196.0,8838.0,109.0,3677.0,21.0,5142.0,44.0,2374.0,26.0,3149.0,18.0,3063.0,14.0,3800.0,26.0,4349.0,53.0,2184.0,11.0
camilla_moroni,failed,,,,,,,,,,,,,,,,,,,,,,,
lucadovits,failed,,,,,,,,,,,,,,,,,,,,,,,
paul_jenft,failed,,,,,,,,,,,,,,,,,,,,,,,
seb_bouin,failed,,,,,,,,,,,,,,,,,,,,,,,
jimpopeclimb,failed,,,,,,,,,,,,,,,,,,,,,,,
japaneseclimber,success,4.0,0.0,False,,,,,,,,,,,,,,,,,,,,
leedohyun___,failed,,,,,,,,,,,,,,,,,,,,,,,
yufei_pan,success,170.0,18.0,False,23.0,1.0,44.0,6.0,70.0,4.0,109.0,5.0,99.0,7.0,110.0,3.0,80.0,4.0,72.0,7.0,40.0,1.0,17.0,0.0
louna_ladevant,failed,,,,,,,,,,,,,,,,,,,,,,,
lucaberger,success,10.0,0.0,False,,,,,,,,,,,,,,,,,,,,
anna_brodnik,success,734.0,753.0,False,171.0,11.0,,,,,,,,,,,,,,,,,,
martin_stranik,success,81.0,0.0,False,,,,,,,,,,,,,,,,,,,,
martina.demmel,success,224.0,8.0,False,,,,,,,,,,,,,,,,,,,,
marcin.dzienski,success,20924.0,846.0,True,747.0,29.0,3379.0,139.0,225208.0,233.0,225.0,12.0,92773.0,245.0,400.0,16.0,416.0,27.0,265.0,16.0,346.0,25.0,112.0,10.0
julia_kaplina,success,443.0,363.0,False,58.0,4.0,65.0,2.0,62.0,8.0,72.0,9.0,55.0,2.0,54.0,6.0,62.0,2.0,44.0,2.0,77.0,13.0,53.0,12.0
anouck_jaubert,failed,,,,,,,,,,,,,,,,,,,,,,,
patrycja.chudziak,failed,,,,,,,,,,,,,,,,,,,,,,,
emma.hunt_,success,748.0,68.0,False,,,,,,,,,,,,,,,,,,,,
samwatsonclimb,failed,,,,,,,,,,,,,,,,,,,,,,,
alexmichelet,failed,,,,,,,,,,,,,,,,,,,,,,,
mickael_mawem,failed,,,,,,,,,,,,,,,,,,,,,,,
nicola_corradi,success,1009.0,44.0,False,,,,,,,,,,,,,,,,,,,,
luoluo_zhi,failed,,,,,,,,,,,,,,,,,,,,,,,
yudai_oshiro,failed,,,,,,,,,,,,,,,,,,,,,,,
elias_iagnemma,success,38711.0,289.0,True,23112.0,341.0,12865.0,176.0,17654.0,368.0,2300.0,12.0,753.0,2.0,1766.0,13.0,1819.0,11.0,4277.0,26.0,1370.0,4.0,3077.0,30.0
victor_baudrand,success,564.0,423.0,False,170.0,64.0,90.0,16.0,212.0,14.0,132.0,22.0,39.0,5.0,51.0,13.0,236.0,41.0,76.0,8.0,157.0,52.0,104.0,24.0
ayala_kerem,success,8759.0,239.0,False,932.0,20.0,951.0,22.0,649.0,6.0,,,,,,,,,,,,,,
melissale_neve,failed,,,,,,,,,,,,,,,,,,,,,,,
ayala_kerem,success,8759.0,239.0,False,932.0,20.0,951.0,22.0,649.0,6.0,,,,,,,,,,,,,,
yuetong_zhang,success,0.0,2.0,False,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,
luca_sucher,failed,,,,,,,,,,,,,,,,,,,,,,,
max_milne,success,287.0,0.0,False,,,,,,,,,,,,,,,,,,,,
leedohyun___,failed,,,,,,,,,,,,,,,,,,,,,,,
